
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.34,36.83,-25.35,-26.15,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.34,36.83,-25.35,-26.15,-14.7,5.12,120.76,4.03,0.0,0.0
3,4.22,36.83,-25.35,-26.15,-14.7,5.12,120.76,4.03,43.22,-2.29
4,4.22,41.74,-9.03,18.12,-14.7,5.12,120.76,4.03,43.22,-2.29
5,4.22,41.74,-9.03,18.12,-6.23,-14.88,95.98,33.67,43.22,-2.29
6,-1.65,48.36,-9.03,18.12,-6.23,-14.88,95.98,33.67,41.82,0.13
7,-1.65,48.36,14.58,-9.34,-19.07,-13.27,95.98,33.67,41.82,0.13
8,-1.65,48.36,14.58,-9.34,-19.07,-13.27,77.29,20.55,39.86,0.18
9,-5.15,47.94,-2.01,-9.34,-19.07,-13.27,77.29,20.55,39.86,0.18
10,-5.15,47.94,-2.01,9.61,4.14,-3.77,91.31,20.55,39.86,0.18
11,-5.15,47.94,-2.01,9.61,4.14,-3.77,91.31,-34.24,38.86,3.95
12,11.98,34.55,-29.92,19.33,4.14,-3.77,91.31,-34.24,38.86,3.95
13,11.98,34.55,-29.92,19.33,14.11,-8.87,126.54,21.3,38.86,3.95
14,18.45,34.55,-29.92,19.33,14.11,-8.87,126.54,21.3,37.52,-5.33
15,18.45,19.48,-35.06,60.67,18.41,-8.87,126.54,21.3,37.52,-5.33
16,18.45,19.48,-35.06,60.67,18.41,-4.69,85.2,90.95,36.84,-5.33
17,-14.22,28.55,-35.06,60.67,18.41,-4.69,85.2,90.95,36.84,-5.19
18,-14.22,28.55,49.66,100.0,8.87,-0.89,85.2,90.95,36.84,-5.19
19,-14.22,28.55,49.66,100.0,8.87,-0.89,32.19,-6.82,37.27,11.67
20,3.78,44.14,75.7,100.0,8.87,-0.89,32.19,-6.82,37.27,11.67
21,3.78,44.14,75.7,23.14,-4.2,-2.27,32.19,-6.82,37.27,11.67
22,3.78,44.14,75.7,23.14,-4.2,-2.27,31.46,2.5,36.42,3.42
23,11.2,40.16,50.31,4.42,-4.2,-2.27,31.46,2.5,36.42,3.42
24,11.2,40.16,50.31,4.42,7.41,-5.37,37.92,11.44,36.42,3.42

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.65,46.93,6.11,-2.49,0.0,0.0,0.0,0.0,0.0,0.0
2,5.65,46.93,6.11,-2.49,-0.31,0.23,82.63,40.39,0.0,0.0
3,5.65,46.93,6.11,-2.49,-0.31,0.23,82.63,40.39,19.29,-0.16
4,6.52,46.81,6.32,-1.88,0.34,0.23,82.63,40.39,19.29,-0.16
5,6.52,46.81,6.32,-1.88,0.34,-0.25,82.53,48.0,19.29,-0.16
6,6.52,46.79,6.32,-1.88,0.34,-0.25,82.53,48.0,19.25,0.28
7,6.52,46.79,4.37,-2.03,0.74,-0.25,82.53,48.0,19.25,0.28
8,6.52,46.79,4.37,-2.03,0.74,0.85,84.38,55.42,19.35,0.21
9,5.92,46.73,5.08,-2.03,0.74,0.85,84.38,55.42,19.35,0.21
10,5.92,46.73,5.08,-1.25,1.04,0.99,84.02,55.42,19.35,0.21
11,5.92,46.73,5.08,-1.25,1.04,0.99,84.02,50.31,19.5,0.29
12,6.35,46.95,4.92,-1.25,1.04,0.99,84.02,50.31,19.5,0.29
13,6.35,46.95,4.92,-0.83,1.07,0.91,83.97,50.31,19.5,0.29
14,6.35,46.95,4.92,-0.83,1.07,0.91,83.97,51.15,19.64,-0.01
15,5.8,46.96,5.02,-0.8,1.07,0.91,83.97,51.15,19.64,-0.01
16,5.8,46.96,5.02,-0.8,1.19,0.96,84.07,51.56,19.64,-0.01
17,6.07,46.96,5.02,-0.8,1.19,0.96,84.07,51.56,19.78,0.11
18,6.07,46.79,5.86,-0.43,1.42,0.96,84.07,51.56,19.78,0.11
19,6.07,46.79,5.86,-0.43,1.42,1.4,83.29,46.8,19.78,0.11
20,5.95,46.79,5.86,-0.43,1.42,1.4,83.29,46.8,19.97,0.26
21,5.95,46.47,4.93,-0.94,1.57,1.4,83.29,46.8,19.97,0.26
22,5.95,46.47,4.93,-0.94,1.57,1.39,84.82,54.74,19.97,0.26
23,6.65,46.47,4.93,-0.94,1.57,1.39,84.82,54.74,20.2,0.07
24,6.65,45.77,-1.37,-0.07,1.35,1.88,84.82,54.74,20.2,0.07

0,6.48,46.47,1.08,-3.92,3.05,0.54,88.87,69.77,22.01,0.82
1,6.48,46.47,1.08,-3.92,3.05,0.54,88.87,81.29,21.98,-0.77
2,8.15,47.23,4.14,-3.92,3.05,0.54,88.87,81.29,21.98,-0.77
3,8.15,47.23,4.14,-1.08,3.46,-0.3,88.87,81.29,21.98,-0.77
4,8.15,47.23,4.14,-1.08,3.46,-0.3,85.11,62.08,21.97,0.0
5,8.43,46.46,0.37,-1.08,3.46,-0.3,85.11,62.08,21.97,0.0
6,8.43,46.46,0.37,-3.87,0.23,1.67,88.36,62.08,21.97,0.0
7,8.43,46.46,0.37,-3.87,0.23,1.67,88.36,80.5,22.12,-0.17
8,8.17,47.66,7.82,1.51,0.23,1.67,88.36,80.5,22.12,-0.17
9,8.17,47.66,7.82,1.51,1.6,2.25,82.16,52.32,22.12,-0.17
10,6.95,47.3,7.82,1.51,1.6,2.25,82.16,52.32,22.51,0.38
11,6.95,47.3,0.78,-3.0,0.89,2.25,82.16,52.32,22.51,0.38
12,6.95,47.3,0.78,-3.0,0.89,1.7,89.68,85.89,22.82,-0.06
13,6.08,46.18,0.78,-3.0,0.89,1.7,89.68,85.89,22.82,-0.06
14,6.08,46.18,1.18,-0.96,-0.07,1.36,89.68,85.89,22.82,-0.06
15,6.08,46.18,1.18,-0.96,-0.07,1.36,88.84,81.64,23.06,0.14
16,7.4,47.18,4.0,-0.96,-0.07,1.36,88.84,81.64,23.06,0.14
17,7.4,47.18,4.0,0.05,1.68,0.85,86.23,81.64,23.06,0.14
18,7.4,47.18,4.0,0.05,1.68,0.85,86.23,66.64,23.21,0.32
19,8.7,46.92,2.17,0.05,1.68,0.85,86.23,66.64,23.21,0.32
20,8.7,46.92,2.17,-1.65,0.71,0.39,86.97,66.64,23.21,0.32
