
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.38,-2.5,51.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.38,-2.5,51.45,3.41,0.55,-1.14,-2.58,2.05,0.0,0.0
3,-1.93,-2.5,51.45,3.41,0.55,-1.14,-2.58,2.05,14.02,-0.53
4,-1.93,-1.91,50.47,3.99,-1.19,-1.14,-2.58,2.05,14.02,-0.53
5,-1.93,-1.91,50.47,3.99,-1.19,0.63,-2.34,-1.57,14.16,-0.53
6,-0.06,-3.55,50.47,3.99,-1.19,0.63,-2.34,-1.57,14.16,0.21
7,-0.06,-3.55,50.45,1.42,0.29,0.71,-2.34,-1.57,14.16,0.21
8,-0.06,-3.55,50.45,1.42,0.29,0.71,-3.92,0.32,14.23,0.21
9,-1.6,-3.17,49.68,1.42,0.29,0.71,-3.92,0.32,14.23,-0.27
10,-1.6,-3.17,49.68,0.68,-1.62,1.02,-3.92,0.32,14.23,-0.27
11,-1.6,-3.17,49.68,0.68,-1.62,1.02,-3.61,-1.66,14.39,-0.07
12,-2.02,-3.29,50.16,0.68,-1.62,1.02,-3.61,-1.66,14.39,-0.07
13,-2.02,-3.29,50.16,0.78,0.87,1.21,-3.59,-1.66,14.39,-0.07
14,-1.16,-3.29,50.16,0.78,0.87,1.21,-3.59,-2.37,14.58,-0.05
15,-1.16,-3.34,50.03,0.99,0.87,1.21,-3.59,-2.37,14.58,-0.05
16,-1.16,-3.34,50.03,0.99,2.42,1.44,-3.89,-0.85,14.58,-0.05
17,-1.52,-3.34,50.03,0.99,2.42,1.44,-3.89,-0.85,14.78,-0.17
18,-1.52,-3.81,49.29,0.11,1.43,1.3,-3.89,-0.85,14.78,-0.17
19,-1.52,-3.81,49.29,0.11,1.43,1.3,-4.3,-1.64,15.02,-0.17
20,-1.95,-3.81,49.29,0.11,1.43,1.3,-4.3,-1.64,15.02,-0.22
21,-1.95,-3.49,49.99,1.52,1.56,1.3,-4.3,-1.64,15.02,-0.22
22,-1.95,-3.49,49.99,1.52,1.56,0.79,-4.01,-1.04,15.18,-0.22
23,0.44,-3.6,49.28,1.52,1.56,0.79,-4.01,-1.04,15.18,0.68
24,0.44,-3.6,49.28,2.22,1.48,1.71,-3.57,-1.04,15.18,0.68

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3.53,6.07,48.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-3.53,6.07,48.58,1.04,1.2,0.82,7.03,-3.98,0.0,0.0
3,-3.7,6.07,48.58,1.04,1.2,0.82,7.03,-3.98,18.55,-0.18
4,-3.7,6.05,49.03,0.14,1.2,0.82,7.03,-3.98,18.55,-0.18
5,-3.7,6.05,49.03,0.14,1.89,0.88,7.02,-4.07,18.55,-0.18
6,-3.54,6.05,49.03,0.14,1.89,0.88,7.02,-4.07,18.68,-0.36
7,-3.54,5.75,48.79,0.89,1.61,0.88,7.02,-4.07,18.68,-0.36
8,-3.54,5.75,48.79,0.89,1.61,1.01,6.78,-4.06,18.83,-0.36
9,-3.67,5.36,48.79,0.89,1.61,1.01,6.78,-4.06,18.83,-0.35
10,-3.67,5.36,48.88,1.03,1.52,0.6,6.78,-4.06,18.83,-0.35
11,-3.67,5.36,48.88,1.03,1.52,0.6,6.26,-3.91,18.95,-0.3
12,-3.42,5.19,49.07,1.03,1.52,0.6,6.26,-3.91,18.95,-0.3
13,-3.42,5.19,49.07,0.92,1.07,0.64,6.26,-3.91,18.95,-0.3
14,-3.42,5.19,49.07,0.92,1.07,0.64,6.29,-3.82,19.06,-0.32
15,-3.71,5.36,48.62,0.92,1.07,0.64,6.29,-3.82,19.06,-0.32
16,-3.71,5.36,48.62,1.1,1.47,0.44,6.02,-3.82,19.06,-0.32
17,-3.28,5.36,48.62,1.1,1.47,0.44,6.02,-4.29,19.16,-0.34
18,-3.28,4.8,47.81,1.7,1.47,0.44,6.02,-4.29,19.16,-0.34
19,-3.28,4.8,47.81,1.7,1.03,-0.28,5.91,-4.3,19.16,-0.34
20,-2.19,4.8,47.81,1.7,1.03,-0.28,5.91,-4.3,19.16,-0.19
21,-2.19,7.19,45.57,6.59,3.21,-0.28,5.91,-4.3,19.16,-0.19
22,-2.19,7.19,45.57,6.59,3.21,-0.51,9.09,1.14,19.03,0.16
23,0.14,5.3,45.57,6.59,3.21,-0.51,9.09,1.14,19.03,0.16
24,0.14,5.3,51.76,23.0,-9.14,3.6,9.09,1.14,19.03,0.16

0,-3.95,-2.43,49.12,0.37,1.71,0.63,-3.02,-4.11,19.96,0.13
1,-3.95,-2.43,49.12,0.37,1.71,0.63,-3.02,-4.17,20.07,-0.7
2,-2.86,-3.02,49.72,0.37,1.71,0.63,-3.02,-4.17,20.07,-0.7
3,-2.86,-3.02,49.72,2.33,2.38,0.6,-3.02,-4.17,20.07,-0.7
4,-2.86,-3.02,49.72,2.33,2.38,0.6,-3.65,-3.46,20.17,-0.35
5,-3.66,-3.42,48.62,2.33,2.38,0.6,-3.65,-3.46,20.17,-0.35
6,-3.66,-3.42,48.62,3.73,1.63,0.28,-3.65,-3.46,20.17,-0.35
7,-3.66,-3.42,48.62,3.73,1.63,0.28,-3.7,-4.61,20.24,-0.35
8,-4.43,-3.34,50.18,3.73,1.63,0.28,-3.7,-4.61,20.24,-0.37
9,-4.43,-3.34,50.18,5.82,4.12,0.62,-4.26,-4.61,20.24,-0.37
10,-4.43,-3.34,50.18,5.82,4.12,0.62,-4.26,-3.85,20.31,-0.23
11,-3.38,-6.47,49.88,4.57,-0.26,0.62,-4.26,-3.85,20.31,-0.23
12,-3.38,-6.47,49.88,4.57,-0.26,3.27,-6.86,-4.25,20.53,-0.23
13,-1.84,-6.57,49.88,4.57,-0.26,3.27,-6.86,-4.25,20.53,-0.14
14,-1.84,-6.57,50.03,3.99,4.48,2.53,-6.86,-4.25,20.53,-0.14
15,-1.84,-6.57,50.03,3.99,4.48,2.53,-7.44,-1.6,21.07,-0.18
16,-3.58,-6.42,48.79,3.99,4.48,2.53,-7.44,-1.6,21.07,-0.18
17,-3.58,-6.42,48.79,0.29,-1.17,1.2,-7.63,-1.6,21.07,-0.18
18,-2.94,-6.42,48.79,0.29,-1.17,1.2,-7.63,-4.18,21.34,-0.0
19,-2.94,-5.56,50.7,1.35,-1.17,1.2,-7.63,-4.18,21.34,-0.0
20,-2.94,-5.56,50.7,1.35,2.42,0.39,-6.09,-3.53,21.34,-0.0
21,-0.48,-5.56,50.7,1.35,2.42,0.39,-6.09,-3.53,21.41,0.92
22,-0.48,-4.14,48.19,-1.14,2.42,0.39,-6.09,-3.53,21.41,0.92
