
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18.66,8.99,44.17,-0.64,0.0,0.0,0.0,0.0,0.0,0.0
2,18.66,8.99,44.17,-0.64,8.51,-2.69,12.4,23.12,0.0,0.0
3,17.07,8.99,44.17,-0.64,8.51,-2.69,12.4,23.12,-165.13,0.06
4,17.07,10.0,43.54,0.75,5.39,-2.69,12.4,23.12,-165.13,0.06
5,17.07,10.0,43.54,0.75,5.39,-4.39,12.61,23.45,-165.58,0.06
6,18.48,8.66,43.54,0.75,5.39,-4.39,12.61,23.45,-165.58,0.21
7,18.48,8.66,45.11,4.6,6.23,-5.54,12.61,23.45,-165.58,0.21
8,18.48,8.66,45.11,4.6,6.23,-5.54,11.15,21.11,-166.31,0.12
9,24.01,5.89,44.09,4.6,6.23,-5.54,11.15,21.11,-166.31,0.12
10,24.01,5.89,44.09,4.02,2.21,-6.34,7.83,21.11,-166.31,0.12
11,24.01,5.89,44.09,4.02,2.21,-6.34,7.83,27.21,-167.37,-0.72
12,18.94,6.88,45.08,5.43,2.21,-6.34,7.83,27.21,-167.37,-0.72
13,18.94,6.88,45.08,5.43,2.83,-5.89,8.26,25.8,-167.37,-0.72
14,22.17,6.88,45.08,5.43,2.83,-5.89,8.26,25.8,-168.22,-0.34
15,22.17,5.29,45.99,5.61,2.19,-5.89,8.26,25.8,-168.22,-0.34
16,22.17,5.29,45.99,5.61,2.19,-4.48,6.35,25.11,-168.94,-0.34
17,19.69,6.86,45.99,5.61,2.19,-4.48,6.35,25.11,-168.94,-0.8
18,19.69,6.86,45.5,-0.14,-1.04,-7.01,6.35,25.11,-168.94,-0.8
19,19.69,6.86,45.5,-0.14,-1.04,-7.01,8.74,24.29,-169.8,-0.8
20,28.83,4.06,44.16,-0.14,-1.04,-7.01,8.74,24.29,-169.8,0.07
21,28.83,4.06,44.16,5.13,5.8,-5.77,8.74,24.29,-169.8,0.07
22,28.83,4.06,44.16,5.13,5.8,-5.77,0.89,38.49,-171.19,1.38
23,53.97,-17.71,51.86,-1.72,5.8,-5.77,0.89,38.49,-171.19,1.38
24,53.97,-17.71,51.86,-1.72,10.93,9.63,-28.3,52.19,-171.19,1.38

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23.86,10.08,42.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23.86,10.08,42.93,0.56,1.61,-2.16,0.0,0.0,0.0,0.0
3,23.86,10.08,42.93,0.56,1.61,-2.16,13.71,29.08,1.86,-0.25
4,22.38,10.27,41.89,0.56,1.61,-2.16,13.71,29.08,1.86,-0.25
5,22.38,10.27,41.89,-1.22,1.77,-2.39,14.4,29.08,1.86,-0.25
6,22.38,10.27,41.89,-1.22,1.77,-2.39,14.4,28.66,1.55,0.29
7,24.76,10.61,40.12,-1.24,1.77,-2.39,14.4,28.66,1.55,0.29
8,24.76,10.61,40.12,-1.24,1.46,-2.49,14.89,31.26,1.55,0.29
9,25.99,10.61,40.12,-1.24,1.46,-2.49,14.89,31.26,1.1,0.19
10,25.99,9.56,41.5,0.46,3.14,-2.49,14.89,31.26,1.1,0.19
11,25.99,9.56,41.5,0.46,3.14,-1.07,13.23,32.15,0.91,0.19
12,24.99,9.69,41.5,0.46,3.14,-1.07,13.23,32.15,0.91,0.16
13,24.99,9.69,41.96,-0.28,0.99,-1.14,13.23,32.15,0.91,0.16
14,24.99,9.69,41.96,-0.28,0.99,-1.14,13.11,30.84,0.7,0.45
15,25.97,9.53,41.96,-0.28,0.99,-1.14,13.11,30.84,0.7,0.45
16,25.97,9.53,40.85,0.32,0.68,-0.85,13.36,30.84,0.7,0.45
17,25.97,9.53,40.85,0.32,0.68,-0.85,13.36,31.91,0.44,0.05
18,25.48,9.32,40.31,0.82,0.68,-0.85,13.36,31.91,0.44,0.05
19,25.48,9.32,40.31,0.82,-0.22,-2.76,13.32,31.91,0.44,0.05
20,25.48,9.32,40.31,0.82,-0.22,-2.76,13.32,32.71,0.12,0.96
21,23.92,12.53,37.05,6.33,-0.22,-2.76,13.32,32.71,0.12,0.96
22,23.92,12.53,37.05,6.33,0.7,-3.77,18.08,33.02,0.12,0.96
23,45.68,12.53,37.05,6.33,0.7,-3.77,18.08,33.02,-0.46,3.51
24,45.68,-0.06,37.22,16.43,12.87,-3.77,18.08,33.02,-0.46,3.51

0,17.87,10.58,43.55,-5.04,3.19,0.68,14.12,15.3,-36.84,0.24
1,17.87,10.58,43.55,-5.04,3.19,0.68,14.12,21.11,-36.91,0.07
2,14.25,12.62,44.37,-2.49,3.19,0.68,14.12,21.11,-36.91,0.07
3,14.25,12.62,44.37,-2.49,4.26,0.89,15.72,17.91,-36.91,0.07
4,14.34,12.62,44.37,-2.49,4.26,0.89,15.72,17.91,-36.79,0.04
5,14.34,12.23,46.02,-2.57,4.21,0.89,15.72,17.91,-36.79,0.04
6,14.34,12.23,46.02,-2.57,4.21,-1.67,15.06,17.36,-36.79,0.04
7,14.34,12.23,46.02,-2.57,4.21,-1.67,15.06,17.36,-37.0,0.86
8,11.53,14.04,44.09,-1.71,4.21,-1.67,15.06,17.36,-37.0,0.86
9,11.53,14.04,44.09,-1.71,2.33,-4.74,17.74,16.56,-37.6,0.86
10,18.73,14.04,44.09,-1.71,2.33,-4.74,17.74,16.56,-37.6,0.15
11,18.73,13.68,41.6,-0.2,4.47,-6.59,17.74,16.56,-37.6,0.15
12,18.73,13.68,41.6,-0.2,4.47,-6.59,18.2,23.06,-38.55,-0.45
13,15.55,13.32,42.67,-0.2,4.47,-6.59,18.2,23.06,-38.55,-0.45
14,15.55,13.32,42.67,0.86,1.33,-6.63,17.42,20.43,-38.55,-0.45
