
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,-16.99,31.96,23.78,-11.36,-8.79,-3.86,51.5,-30.99,9.98,0.31
1,-12.17,30.8,22.93,-8.61,-6.62,-11.11,52.24,-28.05,8.56,0.45
2,-6.76,30.59,26.76,-1.06,-1.33,-20.16,49.19,-14.91,5.23,0.45
3,-0.35,30.32,25.26,1.04,0.1,-26.19,49.19,-14.91,5.23,1.28
4,13.93,30.38,25.26,6.21,0.1,-26.19,49.74,1.36,1.45,2.01
5,25.18,30.38,27.65,6.21,-6.27,-22.16,47.58,25.34,-2.79,-0.18
6,25.18,33.92,31.57,21.13,9.16,-12.87,44.91,41.64,-5.22,0.45
7,18.83,36.62,54.65,20.01,-1.35,32.41,36.71,18.99,-2.02,-0.05
8,6.12,31.64,48.49,4.85,5.76,51.08,31.23,18.99,-2.02,-0.05
9,-15.75,32.48,43.81,-21.46,5.76,51.08,31.23,9.06,5.98,-6.0
10,-31.27,32.48,43.81,-21.46,22.41,52.07,35.41,-17.01,14.36,0.33
11,-31.27,34.07,40.08,-27.8,38.55,27.96,43.17,-40.55,20.77,-0.11
12,-31.19,35.57,21.47,-38.52,18.83,-25.42,58.12,-52.9,19.25,1.24
13,-16.23,36.23,17.81,-25.46,4.58,-38.48,65.0,-40.94,19.25,1.24
14,4.64,36.11,16.02,-21.82,-12.34,-38.48,65.0,-40.94,14.95,0.2
15,15.9,34.94,15.11,-21.82,-12.34,-44.56,65.74,11.98,7.24,0.13
16,11.15,34.94,15.11,-12.2,-19.53,-46.9,66.86,42.0,0.42,1.19
17,11.15,38.42,13.1,-4.18,-37.44,-38.69,67.93,45.59,-6.33,0.16
18,31.88,31.7,21.3,10.39,-32.64,-29.48,55.43,45.59,-6.33,0.16
19,32.52,26.35,17.21,17.9,-38.32,-18.51,56.11,56.09,-12.38,0.33
20,37.83,25.92,40.15,40.99,-14.94,-18.51,56.11,61.9,-15.48,1.61
21,35.29,26.6,48.76,40.99,-14.94,-1.48,35.08,47.35,-16.54,0.5
22,7.92,26.6,48.76,30.41,2.28,26.68,28.99,35.32,-13.52,-3.41
23,7.92,30.67,49.51,-4.15,-4.02,44.35,30.59,11.51,-6.31,-2.14
24,2.14,31.13,40.86,-14.62,9.25,36.9,40.06,-2.69,0.36,-2.34

0,8.58,33.84,33.56,6.18,0.65,-5.77,46.92,13.15,-19.42,0.08
1,8.58,33.84,32.17,4.05,-3.31,-3.15,46.04,16.04,-20.07,0.25
2,10.43,32.51,33.49,5.67,-1.49,0.47,44.38,17.57,-20.09,0.22
3,11.95,32.45,38.83,7.56,1.49,6.29,40.17,18.13,-19.36,0.22
4,19.91,32.93,44.74,0.7,4.54,23.11,40.17,18.13,-19.36,0.14
5,10.89,32.93,44.74,0.7,4.54,23.11,36.72,20.42,-16.66,0.14
6,10.89,33.37,48.54,-13.6,11.44,33.29,35.59,12.11,-11.82,4.44
7,-9.02,34.74,30.97,-22.66,31.07,40.08,47.6,-13.64,-4.23,0.06
8,-14.4,39.24,30.23,-12.87,31.73,16.19,52.89,-24.83,-1.06,0.06
9,-22.2,40.44,26.12,-18.42,22.32,-5.59,57.25,-24.83,-1.06,-1.38
10,-25.51,38.58,19.83,-22.91,22.32,-5.59,57.25,-39.8,-1.19,-1.73
11,-3.01,38.58,19.83,-22.91,-1.02,-29.62,65.13,-52.08,-4.97,-0.32
12,-3.01,38.14,21.86,-15.71,-16.89,-43.21,60.86,-13.64,-11.12,2.49
13,23.31,29.17,5.99,-8.0,-31.13,-49.63,75.25,65.78,-19.5,2.34
14,36.12,27.41,10.81,18.14,-37.48,-25.87,66.78,73.63,-19.5,2.34
15,40.67,22.93,19.29,39.37,-25.06,7.53,47.81,73.63,-24.4,0.27
16,30.68,24.82,58.17,39.37,-25.06,7.53,47.81,63.18,-24.92,-0.58
17,16.65,24.82,58.17,47.27,-15.45,35.03,23.27,25.95,-20.89,0.12
18,16.65,29.68,56.68,3.63,-11.41,51.44,25.89,14.61,-13.88,0.33
19,-15.79,27.51,47.49,-23.88,9.62,56.85,31.29,-21.4,-3.58,-1.66
20,-25.16,37.42,34.4,-35.31,23.75,19.11,46.25,-21.4,-3.58,-1.66
21,-29.22,39.29,22.65,-44.42,23.75,19.11,46.25,-36.43,1.28,-0.07
22,-14.31,39.29,22.65,-44.42,22.0,-12.29,62.59,-55.35,1.16,-0.16
23,-14.31,35.59,13.58,-25.59,3.41,-38.64,71.35,-43.38,-4.4,0.27
24,1.1,35.35,5.16,-6.99,-2.46,-39.34,80.33,4.34,-10.35,0.27
