
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.51,2.87,47.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.51,2.87,47.33,-1.84,1.86,1.4,3.65,3.9,0.0,0.0
3,0.51,2.87,47.33,-1.84,1.86,1.4,3.65,3.9,52.54,-0.36
4,0.51,3.09,44.21,-1.79,1.86,1.4,3.65,3.9,52.54,-0.36
5,0.51,3.09,44.21,-1.79,-2.87,16.75,4.0,-1.48,52.54,-0.36
6,-10.58,3.09,44.21,-1.79,-2.87,16.75,4.0,-1.48,54.48,-0.16
7,-10.58,1.99,46.16,1.93,1.03,16.75,4.0,-1.48,54.48,-0.16
8,-10.58,1.99,46.16,1.93,1.03,26.37,2.4,-12.77,58.83,0.46
9,-14.02,-0.08,46.16,1.93,1.03,26.37,2.4,-12.77,58.83,0.46
10,-14.02,-0.08,49.36,2.52,2.42,26.37,2.4,-12.77,58.83,0.46
11,-14.02,-0.08,49.36,2.52,2.42,25.44,-0.01,-16.64,62.55,-0.07
12,-14.89,-2.07,49.36,2.52,2.42,25.44,-0.01,-16.64,62.55,-0.07
13,-14.89,-2.07,48.82,2.83,6.39,21.68,-0.01,-16.64,62.55,-0.07
14,-14.89,-2.07,48.82,2.83,6.39,21.68,-2.07,-17.16,66.55,-0.06
15,-14.22,-3.2,48.49,2.83,6.39,21.68,-2.07,-17.16,66.55,-0.06
16,-14.22,-3.2,48.49,2.79,7.22,18.13,-3.38,-17.16,66.55,-0.06
17,-14.22,-3.2,48.49,2.79,7.22,18.13,-3.38,-15.7,69.79,-0.07
18,-8.24,-2.84,47.72,1.14,7.22,18.13,-3.38,-15.7,69.79,-0.07
19,-8.24,-2.84,47.72,1.14,3.27,10.79,-3.37,-9.39,69.79,-0.07
20,-8.24,-2.84,47.72,1.14,3.27,10.79,-3.37,-9.39,71.58,0.95
21,0.12,-2.81,45.4,0.72,0.95,10.79,-3.37,-9.39,71.58,0.95
22,0.12,-2.81,45.4,0.72,0.95,12.3,-3.51,0.28,71.58,0.95
23,1.6,-2.81,45.4,0.72,0.95,12.3,-3.51,0.28,73.68,0.47
24,1.6,-4.38,43.78,7.61,-0.99,28.84,-3.51,0.28,73.68,0.47

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-7.61,-0.98,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
2,-7.61,-0.98,48.57,1.4,3.56,7.52,-0.86,-8.83,0.0,0.0
3,-7.92,-0.98,48.57,1.4,3.56,7.52,-0.86,-8.83,88.4,-0.02
4,-7.92,-1.31,49.03,-0.16,2.93,7.52,-0.86,-8.83,88.4,-0.02
5,-7.92,-1.31,49.03,-0.16,2.93,5.27,-1.48,-8.45,88.4,-0.02
6,-7.36,-1.31,49.03,-0.16,2.93,5.27,-1.48,-8.45,89.38,-0.57
7,-7.36,-1.52,49.06,0.58,2.93,5.27,-1.48,-8.45,89.38,-0.57
8,-7.36,-1.52,49.06,0.58,2.53,3.17,-1.71,-7.7,89.38,-0.57
9,-6.04,-1.52,49.06,0.58,2.53,3.17,-1.71,-7.7,90.04,-0.17
10,-6.04,-2.22,48.57,1.09,2.04,3.17,-1.71,-7.7,90.04,-0.17
11,-6.04,-2.22,48.57,1.09,2.04,3.3,-2.27,-6.47,90.04,-0.17
12,-6.46,-1.7,48.57,1.09,2.04,3.3,-2.27,-6.47,90.52,-0.24
13,-6.46,-1.7,50.12,0.27,3.17,3.89,-2.27,-6.47,90.52,-0.24
14,-6.46,-1.7,50.12,0.27,3.17,3.89,-2.25,-6.94,91.21,-0.32
15,-5.04,-2.58,49.19,0.27,3.17,3.89,-2.25,-6.94,91.21,-0.32
16,-5.04,-2.58,49.19,-1.36,1.8,4.95,-2.93,-6.94,91.21,-0.32
17,-5.74,-2.58,49.19,-1.36,1.8,4.95,-2.93,-6.22,91.97,-0.15
18,-5.74,-2.73,49.19,-0.26,1.63,4.95,-2.93,-6.22,91.97,-0.15
19,-5.74,-2.73,49.08,-0.26,1.63,5.68,-3.12,-5.68,91.97,-0.15
20,-0.2,-2.73,49.08,-0.26,1.63,5.68,-3.12,-5.68,92.77,0.66
21,-0.2,-2.94,47.76,-0.56,1.63,5.68,-3.12,-5.68,92.77,0.66
22,-0.2,-2.94,47.76,-0.56,-1.47,14.71,-3.76,-1.02,94.34,0.66
23,3.48,-6.34,47.76,-0.56,-1.47,14.71,-3.76,-1.02,94.34,-0.21
24,3.48,-6.34,45.12,5.56,-4.05,27.29,-3.76,-1.02,94.34,-0.21

0,-10.06,-6.05,47.94,2.17,2.74,5.23,-6.68,-11.51,140.66,-0.95
1,-10.06,-6.05,47.94,2.17,2.74,5.23,-7.25,-12.26,141.39,-0.07
2,-11.43,-6.0,48.24,2.17,2.74,5.23,-7.25,-12.26,141.39,-0.07
3,-11.43,-6.0,48.24,1.77,1.19,5.18,-7.25,-12.26,141.39,-0.07
4,-11.43,-6.0,48.24,1.77,1.19,5.18,-7.18,-13.73,142.08,0.38
5,-9.41,-6.69,48.24,1.77,1.19,5.18,-7.18,-13.73,142.08,0.38
6,-9.41,-6.69,47.62,0.45,2.83,4.66,-7.91,-13.73,142.08,0.38
7,-9.41,-6.69,47.62,0.45,2.83,4.66,-7.91,-11.57,142.81,-0.99
8,-12.59,-6.48,49.38,1.1,2.83,4.66,-7.91,-11.57,142.81,-0.99
9,-12.59,-6.48,49.38,1.1,0.81,2.81,-7.72,-12.56,142.81,-0.99
