
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-41.12,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-41.99,14.56,21.8,1.29,0.67,0.52,34.27,-62.81,0.0,0.0
4,-40.95,14.52,20.06,1.76,0.56,1.3,35.56,-62.81,17.3,-0.03
5,-40.95,14.52,20.06,1.76,0.56,1.3,35.56,-65.06,17.3,-0.03
6,-42.88,14.32,20.06,1.76,0.26,1.3,35.56,-65.06,17.55,-0.03
7,-42.88,14.32,16.24,1.76,0.26,1.79,41.99,-65.06,17.55,-1.01
8,-51.18,14.32,16.24,3.01,0.26,1.79,41.99,-70.84,17.55,-1.01
9,-51.18,15.87,16.24,3.01,-0.16,-1.07,41.99,-70.84,17.86,-1.01
10,-51.18,15.87,16.32,3.01,-0.16,-1.07,45.46,-70.84,17.86,0.59
11,-55.57,15.87,16.32,7.77,-2.31,-1.07,45.46,-72.6,17.86,0.59
12,-55.57,18.27,16.32,7.77,-2.31,-4.29,45.46,-72.6,17.61,0.59
13,-55.57,18.27,24.93,7.77,-2.31,-4.29,34.82,-72.6,17.61,-0.04
14,-60.91,18.27,24.93,8.44,-2.31,-4.29,34.82,-67.47,17.61,-0.04
15,-60.91,18.67,24.93,8.44,-5.83,-25.95,34.82,-67.47,15.66,2.15
16,-60.91,18.67,34.81,8.44,-5.83,-25.95,26.3,-67.47,15.66,2.15
17,-43.9,18.67,34.81,5.82,-5.83,-25.95,26.3,-52.24,15.66,2.15
18,-43.9,18.52,34.81,5.82,-8.1,-31.77,26.3,-52.24,11.55,2.15
19,-43.9,18.52,43.83,5.82,-8.1,-31.77,23.11,-52.24,11.55,2.49
20,-29.1,18.52,43.83,-12.91,-8.1,-31.77,23.11,-37.42,11.55,2.49
21,-29.1,19.76,43.83,-12.91,-6.91,-31.77,23.11,-37.42,6.05,2.49
22,-29.1,19.76,34.8,-12.91,-6.91,-29.51,23.11,-37.42,6.05,-0.23
23,-20.32,19.76,34.8,-26.23,-6.91,-29.51,32.77,-37.07,6.05,-0.23
24,-20.32,21.8,34.8,-26.23,-5.6,-22.71,32.77,-37.07,1.33,-0.23

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-40.62,16.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-39.97,16.05,23.5,1.35,0.39,1.04,34.7,-60.25,0.0,0.0
4,-39.97,15.96,23.25,1.35,0.54,0.9,34.58,-60.25,24.66,-0.06
5,-41.05,15.96,23.25,1.73,0.54,0.9,34.58,-60.34,24.66,-0.06
6,-41.05,15.96,23.25,1.73,0.5,0.9,34.58,-60.34,24.84,-0.06
7,-41.05,16.15,21.12,1.73,0.5,0.58,34.58,-60.34,24.84,-0.56
8,-45.6,16.15,21.12,1.98,0.5,0.58,38.82,-64.95,24.84,-0.56
9,-45.6,20.33,21.12,1.98,1.23,-0.02,38.82,-64.95,24.96,-0.56
10,-45.6,20.33,19.78,1.98,1.23,-0.02,43.73,-64.95,24.96,-2.14
11,-45.6,20.33,19.78,6.98,1.23,-0.02,43.73,-66.56,24.96,-2.14
12,-60.76,21.23,19.78,6.98,-1.24,-0.02,43.73,-66.56,24.35,-2.14
13,-60.76,21.23,32.58,6.98,-1.24,-18.09,32.07,-66.56,24.35,-0.24
14,-47.36,21.23,32.58,2.1,-1.24,-18.09,32.07,-54.42,24.35,-0.24
15,-47.36,22.77,32.58,2.1,-1.93,-27.7,32.07,-54.42,20.33,-0.24
16,-47.36,22.77,42.19,-7.36,-1.93,-27.7,27.69,-54.42,20.33,1.63
17,-38.13,22.77,42.19,-7.36,-3.41,-27.7,27.69,-43.4,20.33,1.63
18,-38.13,20.07,42.19,-7.36,-3.41,-34.44,27.69,-43.4,15.69,-0.04
19,-38.13,20.07,41.69,-7.36,-3.41,-34.44,27.03,-43.4,15.69,-0.04
20,-18.28,20.07,41.69,-24.69,-2.5,-34.44,27.03,-27.71,15.69,-0.04
21,-18.28,22.62,41.69,-24.69,-2.5,-22.12,27.03,-27.71,10.09,1.51
22,-18.28,22.62,33.01,-36.05,-2.5,-22.12,35.59,-27.71,10.09,1.51
23,-10.61,22.62,33.01,-36.05,-2.18,-22.12,35.59,-22.46,10.09,1.51
24,-10.61,18.0,33.01,-36.05,-2.18,-5.23,35.59,-22.46,7.26,1.26

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-37.03,13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-37.62,13.46,27.76,1.14,0.58,1.06,25.95,-53.46,0.0,0.0
4,-37.62,13.32,27.94,1.08,0.58,1.24,25.35,-53.46,15.77,-0.01
