
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-21.6,37.19,0.0,-1.02,0.0,0.0,0.0,0.0,0.0,0.0
2,-21.6,37.19,18.91,-1.02,1.14,0.0,63.4,-49.51,0.0,0.0
3,-21.6,37.19,18.91,-1.02,1.14,1.11,63.4,-49.51,11.24,-0.13
4,-22.35,37.76,18.91,-1.26,1.14,1.11,63.4,-49.51,11.24,-0.13
5,-22.35,37.76,17.73,-1.26,1.42,1.38,64.68,-49.51,11.24,-0.13
6,-22.35,37.76,17.73,-1.26,1.42,1.38,64.68,-51.31,11.44,-0.64
7,-22.9,37.64,18.57,-0.81,1.42,1.38,64.68,-51.31,11.44,-0.64
8,-22.9,37.64,18.57,-0.81,1.45,1.06,63.94,-51.15,11.44,-0.64
9,-23.59,37.64,18.57,-0.81,1.45,1.06,63.94,-51.15,11.65,-0.1
10,-23.59,37.67,18.21,-0.97,1.48,1.06,63.94,-51.15,11.65,-0.1
11,-23.59,37.67,18.21,-0.97,1.48,0.93,64.53,-52.56,11.8,-0.1
12,-22.48,38.0,18.21,-0.97,1.48,0.93,64.53,-52.56,11.8,-0.12
13,-22.48,38.0,17.81,-0.61,1.67,0.93,64.53,-52.56,11.8,-0.12
14,-22.48,38.0,17.81,-0.61,1.67,0.32,64.87,-51.61,11.88,0.01
15,-21.5,38.18,17.81,-0.61,1.67,0.32,64.87,-51.61,11.88,0.01
16,-21.5,38.18,18.88,-0.36,1.66,0.3,63.84,-51.61,11.88,0.01
17,-21.5,38.18,18.88,-0.36,1.66,0.3,63.84,-48.98,11.93,-0.5
18,-21.73,38.75,19.31,-0.36,1.66,0.3,63.84,-48.98,11.93,-0.5
19,-21.73,38.75,19.31,-0.92,1.19,1.35,63.2,-47.81,11.93,-0.5
20,-20.84,38.75,19.31,-0.92,1.19,1.35,63.2,-47.81,12.09,-0.32
21,-20.84,39.44,20.11,-2.4,0.4,1.35,63.2,-47.81,12.09,-0.32
22,-20.84,39.44,20.11,-2.4,0.4,2.88,63.43,-46.77,12.09,-0.32
23,-24.22,39.44,20.11,-2.4,0.4,2.88,63.43,-46.77,12.47,-0.26
24,-24.22,41.34,16.24,-5.06,-1.84,2.88,63.43,-46.77,12.47,-0.26

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-22.38,37.16,20.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-22.38,37.16,20.49,-1.03,1.88,1.42,61.03,0.0,0.0,0.0
3,-22.38,37.16,20.49,-1.03,1.88,1.42,61.03,-47.44,19.07,-0.03
4,-22.17,36.7,21.51,-0.79,1.88,1.42,61.03,-47.44,19.07,-0.03
5,-22.17,36.7,21.51,-0.79,1.19,0.96,59.68,-46.23,19.07,-0.03
6,-21.37,36.7,21.51,-0.79,1.19,0.96,59.68,-46.23,19.22,-0.33
7,-21.37,36.76,20.21,-1.15,1.25,0.96,59.68,-46.23,19.22,-0.33
8,-21.37,36.76,20.21,-1.15,1.25,0.62,61.06,-46.34,19.34,-0.33
9,-21.3,36.54,20.21,-1.15,1.25,0.62,61.06,-46.34,19.34,-0.33
10,-21.3,36.54,20.44,-0.7,1.21,0.98,61.06,-46.34,19.34,-0.33
11,-21.3,36.54,20.44,-0.7,1.21,0.98,61.06,-46.59,19.46,0.0
12,-21.5,36.53,20.98,-0.7,1.21,0.98,61.06,-46.59,19.46,0.0
13,-21.5,36.53,20.98,-0.34,1.56,0.89,60.31,-46.59,19.46,0.0
14,-21.5,36.53,20.98,-0.34,1.56,0.89,60.31,-45.86,19.62,-0.52
15,-21.98,37.24,20.56,-0.34,1.56,0.89,60.31,-45.86,19.62,-0.52
16,-21.98,37.24,20.56,-0.32,1.59,1.22,61.18,-45.86,19.62,-0.52
17,-21.98,37.24,20.56,-0.32,1.59,1.22,61.18,-46.01,19.83,0.2
18,-19.74,38.95,23.42,-1.0,1.59,1.22,61.18,-46.01,19.83,0.2
19,-19.74,38.95,23.42,-1.0,1.1,2.19,59.18,-39.96,19.83,0.2
20,-24.35,38.95,23.42,-1.0,1.1,2.19,59.18,-39.96,20.06,0.04
21,-24.35,39.46,20.63,-3.9,-2.17,2.19,59.18,-39.96,20.06,0.04
22,-24.35,39.46,20.63,-3.9,-2.17,5.43,63.28,-53.83,20.06,0.04
23,-46.64,39.46,20.63,-3.9,-2.17,5.43,63.28,-53.83,20.85,-0.19
24,-46.64,39.29,5.59,-3.33,-8.18,5.43,63.28,-53.83,20.85,-0.19

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-18.32,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-18.32,38.85,20.44,-0.79,1.45,1.27,0.0,0.0,0.0,0.0
