
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-14.14,43.37,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-14.14,43.37,11.47,-0.91,-0.18,0.0,75.09,-51.58,0.0,0.0
3,-14.14,43.37,11.47,-0.91,-0.18,-0.05,75.09,-51.58,13.6,0.02
4,-14.79,42.66,12.13,0.18,-0.18,-0.05,75.09,-51.58,13.6,0.02
5,-14.79,42.66,12.13,0.18,-0.52,-0.19,75.04,-52.3,13.59,0.02
6,-13.96,42.66,12.13,0.18,-0.52,-0.19,75.04,-52.3,13.59,0.12
7,-13.96,42.96,12.39,0.06,0.48,-0.19,75.04,-52.3,13.59,0.12
8,-13.96,42.96,12.39,0.06,0.48,-0.05,74.05,-48.71,13.58,0.12
9,-13.6,42.61,12.39,0.06,0.48,-0.05,74.05,-48.71,13.58,0.05
10,-13.6,42.61,13.23,0.29,0.52,-0.05,72.96,-48.71,13.58,0.05
11,-13.6,42.61,13.23,0.29,0.52,-0.12,72.96,-46.31,13.59,0.29
12,-13.83,43.11,13.23,0.29,0.52,-0.12,72.96,-46.31,13.59,0.29
13,-13.83,43.11,12.22,-0.32,0.87,-0.12,72.96,-46.31,13.59,0.29
14,-13.83,43.11,12.22,-0.32,0.87,0.34,74.08,-48.4,13.63,0.29
15,-14.25,43.11,12.22,-0.32,0.87,0.34,74.08,-48.4,13.63,-0.08
16,-14.25,43.37,13.57,0.54,1.84,0.34,73.39,-48.4,13.63,-0.08
17,-14.25,43.37,13.57,0.54,1.84,0.49,73.39,-46.92,13.7,0.01
18,-15.05,43.68,11.76,0.54,1.84,0.49,73.39,-46.92,13.7,0.01
19,-15.05,43.68,11.76,-0.09,-0.28,0.49,74.49,-51.54,13.7,0.01
20,-15.05,43.68,11.76,-0.09,-0.28,1.29,74.49,-51.54,13.81,0.58
21,-13.68,44.0,11.39,0.16,1.8,1.29,74.49,-51.54,13.81,0.58
22,-13.68,44.0,11.39,0.16,1.8,0.12,75.24,-49.98,13.85,0.58
23,-13.44,43.5,11.39,0.16,1.8,0.12,75.24,-49.98,13.85,0.66
24,-13.44,43.5,10.26,0.53,0.71,0.12,75.24,-49.98,13.85,0.66

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-13.2,39.86,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-13.2,39.86,10.86,-2.11,-0.85,-0.98,74.14,0.0,0.0,0.0
3,-12.02,39.86,10.86,-2.11,-0.85,-0.98,74.14,-46.42,13.46,1.47
4,-12.02,42.07,14.72,0.33,-0.85,-0.98,74.14,-46.42,13.46,1.47
5,-12.02,42.07,14.72,0.33,-0.95,-0.41,71.27,-39.89,13.46,1.47
6,-13.03,42.07,14.72,0.33,-0.95,-0.41,71.27,-39.89,13.37,0.16
7,-13.03,42.96,13.78,-0.8,-0.31,1.24,71.27,-39.89,13.37,0.16
8,-13.03,42.96,13.78,-0.8,-0.31,1.24,71.07,-43.45,13.5,-0.51
9,-14.06,43.07,13.78,-0.8,-0.31,1.24,71.07,-43.45,13.5,-0.51
10,-14.06,43.07,15.74,-0.78,0.16,0.68,71.07,-43.45,13.5,-0.51
11,-14.06,43.07,15.74,-0.78,0.16,0.68,69.79,-41.52,13.64,0.06
12,-14.4,43.18,14.78,-1.24,0.16,0.68,69.79,-41.52,13.64,0.06
13,-14.4,43.18,14.78,-1.24,0.97,0.67,71.14,-44.37,13.64,0.06
14,-16.2,43.18,14.78,-1.24,0.97,0.67,71.14,-44.37,13.78,0.19
15,-16.2,43.05,14.69,-1.16,0.97,0.67,71.14,-44.37,13.78,0.19
16,-16.2,43.05,14.69,-1.16,0.45,0.33,71.63,-47.76,13.78,0.19
17,-14.76,43.05,14.69,-1.16,0.45,0.33,71.63,-47.76,13.84,0.28
18,-14.76,42.75,12.79,-0.93,0.15,0.33,71.63,-47.76,13.84,0.28
19,-14.76,42.75,12.79,-0.93,0.15,-1.78,73.36,-47.15,13.62,0.28
20,-6.87,39.05,12.79,-0.93,0.15,-1.78,73.36,-47.15,13.62,1.32
21,-6.87,39.05,10.65,0.88,2.74,-3.83,73.36,-47.15,13.62,1.32
22,-6.87,39.05,10.65,0.88,2.74,-3.83,74.81,-30.42,13.02,0.98
23,1.02,34.31,11.46,0.88,2.74,-3.83,74.81,-30.42,13.02,0.98
24,1.02,34.31,11.46,5.92,6.67,-2.29,71.65,-30.42,13.02,0.98

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-6.48,44.51,15.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-6.48,44.51,15.22,-0.8,1.06,1.28,0.0,0.0,0.0,0.0
3,-6.48,44.51,15.22,-0.8,1.06,1.28,70.64,-23.62,18.07,0.04
4,-7.34,44.01,16.07,-0.8,1.06,1.28,70.64,-23.62,18.07,0.04
5,-7.34,44.01,16.07,-0.32,1.52,1.07,70.64,-23.62,18.07,0.04
6,-7.34,44.01,16.07,-0.32,1.52,1.07,70.05,-24.63,18.22,0.07
7,-6.76,44.2,15.88,-0.32,1.52,1.07,70.05,-24.63,18.22,0.07
8,-6.76,44.2,15.88,-0.25,1.37,0.7,70.11,-23.24,18.22,0.07
9,-6.76,44.2,15.88,-0.25,1.37,0.7,70.11,-23.24,18.37,0.19
10,-6.06,45.0,16.28,-0.25,1.37,0.7,70.11,-23.24,18.37,0.19
11,-6.06,45.0,16.28,-0.26,0.91,0.6,70.11,-23.24,18.37,0.19
12,-6.06,45.0,16.28,-0.26,0.91,0.6,70.11,-20.66,18.47,0.2
13,-6.61,44.43,16.74,-0.56,0.91,0.6,70.11,-20.66,18.47,0.2
14,-6.61,44.43,16.74,-0.56,1.63,1.14,69.32,-20.9,18.47,0.2
15,-7.02,44.43,16.74,-0.56,1.63,1.14,69.32,-20.9,18.64,0.22
16,-7.02,44.24,15.44,-0.97,1.37,1.14,69.32,-20.9,18.64,0.22
17,-7.02,44.24,15.44,-0.97,1.37,0.97,70.7,-24.12,18.8,0.22
18,-6.36,44.24,15.44,-0.97,1.37,0.97,70.7,-24.12,18.8,0.66
19,-6.36,43.62,14.05,-0.61,1.97,0.97,70.7,-24.12,18.8,0.66
20,-6.36,43.62,14.05,-0.61,1.97,0.72,71.93,-22.86,18.9,0.17
21,-3.07,41.62,12.57,-0.61,1.97,0.72,71.93,-22.86,18.9,0.17
22,-3.07,41.62,12.57,1.02,2.69,0.9,73.29,-22.86,18.9,0.17
23,-3.07,41.62,12.57,1.02,2.69,0.9,73.29,-12.98,19.02,0.11
24,15.66,35.03,17.96,1.02,2.69,0.9,73.29,-12.98,19.02,0.11

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-6.84,43.33,0.0,0.01,1.46,0.0,0.0,0.0,0.0,0.0
2,-6.84,43.33,17.85,0.01,1.46,0.98,66.86,-20.64,0.0,0.0
3,-7.52,43.33,17.85,0.01,1.46,0.98,66.86,-20.64,15.0,0.1
4,-7.52,43.39,19.45,-0.11,1.46,0.98,66.86,-20.64,15.0,0.1
5,-7.52,43.39,19.45,-0.11,1.25,1.01,65.95,-20.57,15.0,0.1
6,-7.34,43.39,19.45,-0.11,1.25,1.01,65.95,-20.57,15.16,0.84
7,-7.34,43.26,18.67,-0.62,1.29,1.01,65.95,-20.57,15.16,0.84
8,-7.34,43.26,18.67,-0.62,1.29,1.42,66.57,-22.08,15.34,0.84
9,-6.92,43.59,18.67,-0.62,1.29,1.42,66.57,-22.08,15.34,0.91
10,-6.92,43.59,18.26,-0.53,1.54,1.3,66.57,-22.08,15.34,0.91
11,-6.92,43.59,18.26,-0.53,1.54,1.3,66.96,-21.77,15.51,0.24
12,-6.92,43.15,18.26,-0.53,1.54,1.3,66.96,-21.77,15.51,0.24
13,-6.92,43.15,18.96,-0.68,1.59,0.92,66.47,-21.77,15.51,0.24
14,-6.92,43.15,18.96,-0.68,1.59,0.92,66.47,-21.16,15.68,0.08
15,-7.95,43.5,18.07,-1.04,1.59,0.92,66.47,-21.16,15.68,0.08
16,-7.95,43.5,18.07,-1.04,1.15,0.34,67.37,-22.25,15.68,0.08
17,-6.55,43.5,18.07,-1.04,1.15,0.34,67.37,-22.25,15.81,0.21
18,-6.55,42.97,17.42,-0.39,2.84,0.34,67.37,-22.25,15.81,0.21
19,-6.55,42.97,17.42,-0.39,2.84,0.01,67.96,-18.88,15.83,0.21
