
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-8.4,37.16,29.49,0.31,0.0,0.0,0.0,0.0,0.0,0.0
2,-8.4,37.16,29.49,0.31,1.45,1.32,51.72,-15.05,0.0,0.0
3,-8.4,37.16,29.49,0.31,1.45,1.32,51.72,-15.05,16.42,0.18
4,-7.12,37.33,29.18,-0.58,1.45,1.32,51.72,-15.05,16.42,0.18
5,-7.12,37.33,29.18,-0.58,1.61,0.75,51.99,-13.54,16.42,0.18
6,-7.75,37.48,29.18,-0.58,1.61,0.75,51.99,-13.54,16.58,0.14
7,-7.75,37.48,29.09,-0.8,1.57,0.87,51.99,-13.54,16.58,0.14
8,-7.75,37.48,29.09,-0.8,1.57,0.87,52.48,-15.41,16.71,0.14
9,-6.81,36.86,29.09,-0.8,1.57,0.87,52.48,-15.41,16.71,0.01
10,-6.81,36.86,29.35,-0.85,1.77,1.01,51.89,-15.41,16.71,0.01
11,-6.81,36.86,29.35,-0.85,1.77,1.01,51.89,-13.29,16.85,0.08
12,-6.82,36.84,29.24,-0.85,1.77,1.01,51.89,-13.29,16.85,0.08
13,-6.82,36.84,29.24,-1.63,1.46,1.82,51.77,-13.29,16.85,0.08
14,-6.82,36.84,29.24,-1.63,1.46,1.82,51.77,-14.19,17.07,0.32
15,-7.87,37.3,29.97,-1.63,1.46,1.82,51.77,-14.19,17.07,0.32
16,-7.87,37.3,29.97,-1.38,1.97,1.01,51.25,-14.19,17.07,0.32
17,-7.87,37.3,29.97,-1.38,1.97,1.01,51.25,-14.87,17.29,0.16
18,-7.88,37.46,27.85,-3.17,1.97,1.01,51.25,-14.87,17.29,0.16
19,-7.88,37.46,27.85,-3.17,-0.12,-0.24,54.59,-15.82,17.29,0.16
20,-7.44,37.46,27.85,-3.17,-0.12,-0.24,54.59,-15.82,17.32,0.14
21,-7.44,36.71,-1.63,-2.7,2.55,-0.24,54.59,-15.82,17.32,0.14
22,-7.44,36.71,-1.63,-2.7,2.55,3.78,85.02,-66.36,17.56,0.14
23,-25.01,22.39,-1.63,-2.7,2.55,3.78,85.02,-66.36,17.56,0.06
24,-25.01,22.39,-69.3,25.37,-1.97,3.78,85.02,-66.36,17.56,0.06

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.35,34.9,32.82,-0.72,0.0,0.0,0.0,0.0,0.0,0.0
2,1.35,34.9,32.82,-0.72,1.17,1.07,46.93,2.52,0.0,0.0
3,1.24,34.9,32.82,-0.72,1.17,1.07,46.93,2.52,20.33,0.26
4,1.24,34.97,32.32,-0.52,1.17,1.07,46.93,2.52,20.33,0.26
5,1.24,34.97,32.32,-0.52,1.27,0.8,47.34,2.29,20.33,0.26
6,1.98,34.97,32.32,-0.52,1.27,0.8,47.34,2.29,20.49,0.23
7,1.98,34.93,32.24,-0.81,1.93,0.8,47.34,2.29,20.49,0.23
8,1.98,34.93,32.24,-0.81,1.93,0.67,47.33,3.39,20.6,0.23
9,1.27,35.27,32.24,-0.81,1.93,0.67,47.33,3.39,20.6,0.33
10,1.27,35.27,33.07,-0.31,0.57,1.15,47.33,3.39,20.6,0.33
11,1.27,35.27,33.07,-0.31,0.57,1.15,46.93,2.53,20.79,0.35
12,1.16,35.18,32.39,-0.31,0.57,1.15,46.93,2.53,20.79,0.35
13,1.16,35.18,32.39,-0.92,1.74,1.07,47.17,2.53,20.79,0.35
14,1.16,35.18,32.39,-0.92,1.74,1.07,47.17,2.38,20.94,0.37
15,1.16,35.32,32.46,-1.22,1.38,1.07,47.17,2.38,20.94,0.37
16,1.16,35.32,32.46,-1.22,1.38,1.07,47.39,2.4,21.11,0.37
17,1.16,35.32,32.46,-1.22,1.38,1.07,47.39,2.4,21.11,0.42
18,1.53,35.12,31.97,-1.53,1.38,1.07,47.39,2.4,21.11,0.42
19,1.53,35.12,31.97,-1.53,0.93,1.05,47.95,2.68,21.11,0.42
20,0.99,35.12,31.97,-1.53,0.93,1.05,47.95,2.68,21.3,-0.11
21,0.99,34.72,28.43,-1.19,-0.48,1.05,47.95,2.68,21.3,-0.11
22,0.99,34.72,28.43,-1.19,-0.48,0.34,52.11,2.48,21.4,-0.11
23,1.36,25.84,28.43,-1.19,-0.48,0.34,52.11,2.48,21.4,0.03
24,1.36,25.84,-23.76,-1.96,-0.98,0.34,52.11,2.48,21.4,0.03

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.75,37.11,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.75,37.11,28.7,-0.98,1.74,1.15,52.34,0.0,0.0,0.0
3,2.75,37.11,28.7,-0.98,1.74,1.15,52.34,5.27,8.81,0.22
4,2.04,37.51,28.63,-0.2,1.74,1.15,52.34,5.27,8.81,0.22
5,2.04,37.51,28.63,-0.2,1.86,0.91,52.67,5.09,8.81,0.22
6,2.65,37.51,28.63,-0.2,1.86,0.91,52.67,5.09,9.02,0.25
7,2.65,37.38,28.0,-0.23,1.61,0.91,52.67,5.09,9.02,0.25
8,2.65,37.38,28.0,-0.23,1.61,1.06,53.02,5.5,9.16,0.25
9,2.27,37.41,28.0,-0.23,1.61,1.06,53.02,5.5,9.16,0.28
10,2.27,37.41,29.19,0.15,1.42,1.35,53.02,5.5,9.16,0.28
11,2.27,37.41,29.19,0.15,1.42,1.35,52.61,4.92,9.38,0.47
12,2.39,37.45,28.02,0.15,1.42,1.35,52.61,4.92,9.38,0.47
13,2.39,37.45,28.02,1.47,1.07,0.84,51.85,5.34,9.38,0.47
14,2.39,37.45,28.02,1.47,1.07,0.84,51.85,5.34,9.54,-0.03
15,2.81,36.61,28.12,1.47,1.07,0.84,51.85,5.34,9.54,-0.03
16,2.81,36.61,28.12,0.65,0.63,1.1,52.16,5.34,9.54,-0.03
17,2.81,36.61,28.12,0.65,0.63,1.1,52.16,5.37,9.71,0.0
