
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.69,14.91,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0
2,-1.69,14.91,46.31,0.23,1.71,0.0,17.9,-2.09,0.0,0.0
3,-1.69,14.91,46.31,0.23,1.71,1.6,17.9,-2.09,25.37,0.2
4,-2.57,15.17,45.36,0.23,1.71,1.6,17.9,-2.09,25.37,0.2
5,-2.57,15.17,45.36,-0.13,1.14,0.61,18.13,-2.09,25.37,0.2
6,-2.57,15.17,45.36,-0.13,1.14,0.61,18.13,-2.51,25.53,0.27
7,-1.37,14.72,45.97,0.1,1.14,0.61,18.13,-2.51,25.53,0.27
8,-1.37,14.72,45.97,0.1,1.44,0.97,17.74,-1.74,25.53,0.27
9,-1.2,14.72,45.97,0.1,1.44,0.97,17.74,-1.74,25.64,0.39
10,-1.2,14.61,46.2,-0.4,0.82,0.97,17.74,-1.74,25.64,0.39
11,-1.2,14.61,46.2,-0.4,0.82,0.55,17.64,-1.7,25.81,0.39
12,-1.21,14.61,46.2,-0.4,0.82,0.55,17.64,-1.7,25.81,0.04
13,-1.21,14.47,46.12,-0.46,1.27,0.55,17.64,-1.7,25.81,0.04
14,-1.21,14.47,46.12,-0.46,1.27,1.62,17.67,-1.82,25.96,0.12
15,-1.69,14.65,46.12,-0.46,1.27,1.62,17.67,-1.82,25.96,0.12
16,-1.69,14.65,45.66,-0.18,1.5,2.05,17.67,-1.82,25.96,0.12
17,-1.69,14.65,45.66,-0.18,1.5,2.05,17.85,-2.31,26.27,0.22
18,-2.3,15.24,45.1,-0.18,1.5,2.05,17.85,-2.31,26.27,0.22
19,-2.3,15.24,45.1,0.31,1.37,1.03,18.41,-2.31,26.27,0.22
20,-1.8,15.24,45.1,0.31,1.37,1.03,18.41,-2.53,26.46,0.06
21,-1.8,15.07,44.82,1.38,1.37,1.03,18.41,-2.53,26.46,0.06
22,-1.8,15.07,44.82,1.38,1.07,0.76,18.59,-2.27,26.46,0.06
23,1.39,17.41,44.82,1.38,1.07,0.76,18.59,-2.27,26.6,0.72
24,1.39,17.41,48.46,3.9,2.15,0.76,18.59,-2.27,26.6,0.72

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
