
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18.93,18.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.93,18.39,40.8,-1.79,1.97,0.0,23.98,0.0,0.0,0.0
3,18.93,18.39,40.8,-1.79,1.97,-3.56,23.98,24.4,19.6,0.22
4,19.2,17.66,40.8,-1.79,1.97,-3.56,23.98,24.4,19.6,0.22
5,19.2,17.66,41.01,-1.5,2.29,-3.56,23.98,24.4,19.6,0.22
6,19.2,17.66,41.01,-1.5,2.29,-3.71,23.41,24.79,19.07,0.22
7,20.01,17.36,39.67,-1.5,2.29,-3.71,23.41,24.79,19.07,-0.13
8,20.01,17.36,39.67,-2.05,1.71,-2.65,23.75,24.79,19.07,-0.13
9,19.08,17.36,39.67,-2.05,1.71,-2.65,23.75,27.06,18.58,0.07
10,19.08,16.98,40.27,0.85,1.97,-2.65,23.75,27.06,18.58,0.07
11,19.08,16.98,40.27,0.85,1.97,-2.2,22.58,25.49,18.58,0.07
12,19.21,16.98,40.27,0.85,1.97,-2.2,22.58,25.49,18.24,0.06
13,19.21,17.18,39.03,-0.89,1.09,-2.2,22.58,25.49,18.24,0.06
14,19.21,17.18,39.03,-0.89,1.09,-3.5,23.6,25.83,17.78,0.06
15,22.42,17.18,39.03,-0.89,1.09,-3.5,23.6,25.83,17.78,-0.75
16,22.42,16.44,38.74,1.73,1.49,-3.5,23.6,25.83,17.78,-0.75
17,22.42,16.44,38.74,1.73,1.49,-5.56,23.12,29.47,16.91,-0.75
18,23.5,17.71,38.74,1.73,1.49,-5.56,23.12,29.47,16.91,0.44
19,23.5,17.71,37.79,4.72,1.68,-8.05,24.89,29.47,16.91,0.44
20,23.5,17.71,37.79,4.72,1.68,-8.05,24.89,35.23,15.97,0.32
21,46.07,3.55,29.71,4.72,1.68,-8.05,24.89,35.23,15.97,0.32
22,46.07,3.55,29.71,12.99,16.43,-6.19,-1.55,35.23,15.97,0.32
23,46.07,3.55,29.71,12.99,16.43,-6.19,-1.55,59.28,14.8,0.21
24,82.36,-37.39,44.87,12.99,16.43,-6.19,-1.55,59.28,14.8,0.21

0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19.3,19.7,39.79,-0.22,0.0,0.0,0.0,0.0,0.0,0.0
2,19.3,19.7,39.79,-0.22,1.86,1.5,26.45,25.83,0.0,0.0
3,19.3,19.7,39.79,-0.22,1.86,1.5,26.45,25.83,10.52,0.0
4,19.53,19.71,39.19,-0.74,1.86,1.5,26.45,25.83,10.52,0.0
5,19.53,19.71,39.19,-0.74,0.95,0.86,26.58,26.03,10.52,0.0
6,18.88,19.71,39.19,-0.74,0.95,0.86,26.58,26.03,10.7,0.04
7,18.88,19.63,39.86,-0.43,1.67,0.86,26.58,26.03,10.7,0.04
8,18.88,19.63,39.86,-0.43,1.67,0.85,26.19,25.43,10.84,0.04
9,19.51,20.02,39.86,-0.43,1.67,0.85,26.19,25.43,10.84,0.6
10,19.51,20.02,39.44,-0.27,1.5,0.97,26.19,25.43,10.84,0.6
11,19.51,20.02,39.44,-0.27,1.5,0.97,26.83,25.96,10.96,0.02
12,19.54,19.63,39.51,-0.27,1.5,0.97,26.83,25.96,10.96,0.02
13,19.54,19.63,39.51,-0.2,1.4,0.64,26.42,25.96,10.96,0.02
14,19.54,19.63,39.51,-0.2,1.4,0.64,26.42,25.93,11.07,0.35
15,20.03,19.58,39.11,-0.2,1.4,0.64,26.42,25.93,11.07,0.35
16,20.03,19.58,39.11,-0.34,1.34,0.69,26.59,25.93,11.07,0.35
17,18.8,19.58,39.11,-0.34,1.34,0.69,26.59,26.51,11.17,0.06
18,18.8,19.62,38.57,0.06,1.34,0.69,26.59,26.51,11.17,0.06
19,18.8,19.62,38.57,0.06,0.22,0.05,27.62,26.04,11.17,0.06
20,21.58,19.62,38.57,0.06,0.22,0.05,27.62,26.04,11.26,1.02
21,21.58,22.2,36.87,1.18,-1.97,0.05,27.62,26.04,11.26,1.02
22,21.58,22.2,36.87,1.18,-1.97,-2.49,30.46,31.7,11.05,1.02
23,47.69,10.67,36.87,1.18,-1.97,-2.49,30.46,31.7,11.05,0.31
24,47.69,10.67,35.88,4.98,7.46,-2.49,30.46,31.7,11.05,0.31

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14.63,19.05,42.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,14.63,19.05,42.13,-0.71,1.13,0.34,24.29,0.0,0.0,0.0
3,14.63,19.05,42.13,-0.71,1.13,0.34,24.29,19.15,27.08,-0.01
4,14.8,18.94,41.76,-0.37,1.13,0.34,24.29,19.15,27.08,-0.01
5,14.8,18.94,41.76,-0.37,1.59,0.07,24.2,19.02,27.08,-0.01
6,14.8,18.94,41.76,-0.37,1.59,0.07,24.2,19.02,27.09,0.02
7,14.56,19.26,40.81,-1.52,1.59,0.07,24.2,19.02,27.09,0.02
8,14.56,19.26,40.81,-1.52,1.4,-0.85,25.08,19.55,27.09,0.02
9,14.32,19.26,40.81,-1.52,1.4,-0.85,25.08,19.55,26.98,0.17
10,14.32,19.3,41.71,-1.01,1.71,-0.85,25.08,19.55,26.98,0.17
11,14.32,19.3,41.71,-1.01,1.71,-1.11,24.69,18.91,26.78,0.17
12,15.4,18.64,41.71,-1.01,1.71,-1.11,24.69,18.91,26.78,0.11
13,15.4,18.64,41.49,-0.48,1.97,-1.11,24.69,18.91,26.78,0.11
14,15.4,18.64,41.49,-0.48,1.97,-2.24,24.33,19.97,26.48,0.11
15,15.01,18.59,41.49,-0.48,1.97,-2.24,24.33,19.97,26.48,0.31
16,15.01,18.59,42.26,-0.97,1.31,-1.93,24.33,19.97,26.48,0.31
17,15.01,18.59,42.26,-0.97,1.31,-1.93,23.94,19.06,26.16,0.24
18,13.33,19.67,41.46,-0.97,1.31,-1.93,23.94,19.06,26.16,0.24
19,13.33,19.67,41.46,-1.75,1.48,-4.06,25.4,19.06,26.16,0.24
20,13.33,19.67,41.46,-1.75,1.48,-4.06,25.4,19.44,25.6,0.59
21,11.11,20.98,42.1,-1.79,1.48,-4.06,25.4,19.44,25.6,0.59
22,11.11,20.98,42.1,-1.79,2.06,-7.58,26.36,19.44,25.6,0.59
