
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-7.96,21.94,42.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0
2,-7.96,21.94,42.29,0.58,2.19,4.64,27.6,-11.18,0.0,0.0
3,-7.96,21.94,42.29,0.58,2.19,4.64,27.6,-11.18,43.48,0.0
4,-8.09,22.39,42.29,-0.35,3.11,4.64,27.6,-11.18,43.48,0.0
5,-8.09,22.39,42.73,-0.35,3.11,9.5,27.61,-11.39,43.48,0.0
6,-6.93,22.39,42.73,-0.35,3.11,9.5,27.61,-11.39,44.62,-0.61
7,-6.93,20.8,40.47,-0.75,0.89,9.5,27.61,-11.39,44.62,-0.61
8,-6.93,20.8,40.47,-0.75,0.89,10.96,27.37,-9.35,46.44,-0.61
9,-7.69,19.85,40.47,-0.75,0.89,10.96,27.37,-9.35,46.44,0.82
10,-7.69,19.85,40.06,1.75,-3.29,14.6,27.37,-9.35,46.44,0.82
11,-7.69,19.85,40.06,1.75,-3.29,14.6,25.81,-12.13,48.73,-0.74
12,-12.48,19.56,42.31,1.75,-3.29,14.6,25.81,-12.13,48.73,-0.74
13,-12.48,19.56,42.31,2.32,-5.62,17.11,24.56,-12.13,48.73,-0.74
14,-13.56,19.56,42.31,2.32,-5.62,17.11,24.56,-18.82,51.23,0.02
15,-13.56,17.23,40.76,2.32,-5.62,17.11,24.56,-18.82,51.23,0.02
16,-13.56,17.23,40.76,-0.33,5.96,19.13,22.21,-21.74,51.23,0.02
17,-69.39,17.23,40.76,-0.33,5.96,19.13,22.21,-21.74,54.26,-3.23
18,-69.39,32.11,63.14,-5.53,-2.32,19.13,22.21,-21.74,54.26,-3.23
19,-69.39,32.11,63.14,-5.53,-2.32,15.72,25.41,-53.68,57.14,-3.23
20,-99.99,32.11,63.14,-5.53,-2.32,15.72,25.41,-53.68,57.14,-0.29
21,-99.99,-25.42,44.8,-43.01,18.7,15.72,25.41,-53.68,57.14,-0.29
22,-99.99,-25.42,44.8,-43.01,18.7,-51.95,-19.4,-66.64,53.48,-0.29
23,4.34,-25.42,44.8,-43.01,18.7,-51.95,-19.4,-66.64,53.48,-0.13
24,4.34,-47.9,48.61,-25.05,38.52,-100.0,-19.4,-66.64,53.48,-0.13

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-8.94,26.51,39.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-8.94,26.51,39.31,0.09,1.97,2.2,33.93,0.0,0.0,0.0
3,-8.94,26.51,39.31,0.09,1.97,2.2,33.93,-12.91,28.94,0.08
4,-8.28,26.28,38.24,0.09,1.97,2.2,33.93,-12.91,28.94,0.08
5,-8.28,26.28,38.24,-0.06,1.86,2.83,34.54,-12.91,28.94,0.08
6,-8.28,26.28,38.24,-0.06,1.86,2.83,34.54,-12.08,29.31,-0.19
